timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2023-03-07,22409.41,22557.91,21927.0,22197.96,292519.80912,2023-03-07 23:59:59.999,6517594938.24605280,7813394,145498.64219000,3242136502.65467320,0
2023-03-08,22198.56,22287.0,21580.0,21705.44,301460.57272,2023-03-08 23:59:59.999,6641171704.24242130,8018963,150008.02488000,3304860256.10499370,0
2023-03-09,21704.37,21834.99,20042.72,20362.22,443658.28584,2023-03-09 23:59:59.999,9403028764.70777380,10076702,217900.59621000,4619803522.04323720,0
2023-03-10,20362.21,20367.78,19549.09,20150.69,618456.4671,2023-03-10 23:59:59.999,12344992788.91249570,12106261,308155.80993000,6151475123.53551420,0
2023-03-11,20150.69,20686.51,19765.03,20455.73,427831.82133,2023-03-11 23:59:59.999,8651590672.46852580,10412300,213151.47855000,4310534195.90929190,0
2023-03-12,20455.73,22150.0,20270.6,21997.11,430944.94288,2023-03-12 23:59:59.999,8982418413.80113910,9721933,218639.06880000,4558127964.92580440,0
2023-03-13,21998.05,24500.0,21813.88,24113.48,687889.31259,2023-03-13 23:59:59.999,15824996078.60563840,14820760,346688.17025000,7976620081.70609870,0
2023-03-14,24112.27,26386.87,23976.42,24670.41,699360.93423,2023-03-14 23:59:59.999,17465307097.88407330,15223589,351739.11994000,8783916247.67613780,0
2023-03-15,24670.41,25196.97,23896.95,24285.66,581450.72984,2023-03-15 23:59:59.999,14291005743.89785140,12613034,291192.86696000,7157472156.96233370,0
2023-03-16,24285.66,25167.4,24123.0,24998.78,439421.32998,2023-03-16 23:59:59.999,10847330151.94100580,10418081,220403.30289000,5441432259.26084610,0
2023-03-17,24998.78,27756.84,24890.0,27395.13,624460.68091,2023-03-17 23:59:59.999,16476681071.24337980,13113359,318022.61356000,8392477832.00232200,0
2023-03-18,27395.13,27724.85,26578.0,26907.49,371238.97174,2023-03-18 23:59:59.999,10135945069.64262880,9948603,185687.70768000,5070480124.59387840,0
2023-03-19,26907.49,28390.1,26827.22,27972.87,372066.99054,2023-03-19 23:59:59.999,10264707987.59416350,9578297,188150.56147000,5191102286.40091840,0
2023-03-20,27972.87,28472.0,27124.47,27717.01,477378.23373,2023-03-20 23:59:59.999,13300424536.51492210,11775950,239765.29148000,6680704887.53214600,0
2023-03-21,27717.01,28438.55,27303.1,28105.47,420929.7422,2023-03-21 23:59:59.999,11760492716.33759010,11530870,210472.34027000,5880942507.63001030,0
2023-03-22,28107.81,28868.05,26601.8,27250.97,224113.41296,2023-03-22 23:59:59.999,6272099822.44962380,3589327,110355.97386000,3089585214.11506410,0
2023-03-23,27250.97,28750.0,27105.0,28295.41,128649.60818,2023-03-23 23:59:59.999,3591123573.11495830,2159091,65172.02479000,1819323637.29034450,0
2023-03-24,28295.42,28374.3,27000.0,27454.47,86242.06544,2023-03-24 23:59:59.999,2403443392.02730140,1511137,41449.56122000,1155147465.73899320,0
2023-03-25,27454.46,27787.33,27156.09,27462.95,50844.08102,2023-03-25 23:59:59.999,1397227639.21413780,1088721,25326.94876000,696042529.08396240,0
2023-03-26,27462.96,28194.4,27417.76,27968.05,49671.70353,2023-03-26 23:59:59.999,1380973402.99612050,1068196,25248.15818000,702028235.05732650,0
